Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
,,,,"Cactus de Cartier necklace, yellow gold 750/1000, set with 52 emeralds, 10 rubies and 2 brilliant-cut diamonds totalling 0.29 carat.",,,,H7000731,,Cactus de Cartier necklace,,,,https://www.cartier.com/en-bg/cactus-de-cartier-necklace_cod43769801097813485.html,,
Add to bag,,,,"Panthère de Cartier ring, yellow gold 750/1000, onyx, set with 2 emeralds and 242 brilliant-cut diamonds totalling 2.21 carats. Width of the pattern: 11.05 mm (for size 52).",,,лв,N4767700,84.000,Panthère de Cartier ring,,,,https://www.cartier.com/en-bg/panthere-de-cartier-ring_cod25458910981438845.html,,
Add to bag,,,,"Juste un Clou necklace, yellow gold 750/1000. Width: 4.5mm.",,,,N7424165,,Juste un Clou necklace,,,,https://www.cartier.com/en-bg/juste-un-clou-necklace_cod25372685655696395.html,,
Add to bag,,,,"Set of 3 Panthère de Cartier matchboxes, large model, made from paper and wood sourced from sustainably managed forests. Each box contains about 80 matches. Dimensions: Boxes: D 6.2 x H 21 cm; Matches: H 20 cm",,,лв,OG000660,480,"Panthère de Cartier set of 3 matchboxes, large model",,,,https://www.cartier.com/en-bg/panthere-de-cartier-set-of-3-matchboxes-large-model_cod29419655932686365.html,,
Add to bag,,,,"The fragrance of a majestic yet elusive flower: the lily is recreated for the first time, from the freshness of the leaf, the floral scent of the petal and the powdery fragrance of the stamen.  For this perfume I wanted to recreate the scent of bundles of flowers on the neck.  Mathilde Laurent, Cartier perfumer.  INGREDIENTS: ALCOHOL, PARFUM (FRAGRANCE), AQUA (WATER), BENZYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE, LINALOOL, ALPHA-ISOMETHYL IONONE, GERANIOL, CITRONELLOL, CINNAMYL ALCOHOL, ISOEUGENOL, BHT, LIMONENE, BENZYL BENZOATE, BENZYL ALCOHOL, CI 14700 (RED N°4), CI 60730 (EXT. VIOLET 2).",,,,FP327040,,Baiser Volé Eau de Parfum,,,,https://www.cartier.com/en-bg/baiser-vole-eau-de-parfum_cod25372685655524322.html,,
Add to bag,,,,"Clash de Cartier necklace, flexible large model, rose gold 750/1000, onyx, diamonds.",,,,N7424459,,Clash de Cartier necklace,,,,https://www.cartier.com/en-bg/clash-de-cartier-necklace_cod1647597288990244.html,,
,,,,"Clash de Cartier bracelet, large model, rhodium-finish white gold 750/1000, Tahiti pearls, onyx, diamonds.",,,,N6719417,,Clash de Cartier bracelet,,,,https://www.cartier.com/en-bg/clash-de-cartier-bracelet_cod25185454456929183.html,,
,,,,"Clash de Cartier bracelet, XL model, rose gold 750/1000, amazonite.",,,,N6718417,,"Clash de Cartier bracelet, XL model",,,,https://www.cartier.com/en-bg/clash-de-cartier-bracelet-xl-model_cod560971903762941.html,,
Add to bag,,,,"Unadorned Oud resin, its bareness and purity paying homage to the essence of this noble ingredient.  INGREDIENTS: ALCOHOL, FRAGRANCE, WATER, ETHYLHEXYL METHOXYCINNAMATE, ETHYLHEXYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE, COUMARIN, BHT, LINALOOL, EUGENOL, CITRONELLOL, GERANIOL, BENZYL BENZOATE, LIMONENE, ISOEUGENOL, CITRAL.",,,,FV075010,,Oud & Oud Les Heures Voyageuses Fragrance 75 ml,,,,https://www.cartier.com/en-bg/oud-oud-les-heures-voyageuses-fragrance-75-ml_cod25372685655520786.html,,
Add to bag,,,,"Rosemary green and lavender blue… An old nursery rhyme leads us back  to a medicinal garden grown wild with sprightly aromatic herbs, wise plants picked to cheer body and soul.  The apothecary's prescription: an infusion of joy and courage, lentiscus, a bracing cure for the blues, THYME, a secret antidote for bitterness, verbena. And so we are born anew, in a halo of good-natured gaiety, with a teasing lash of ABSINTH green, a calm waft of lavender, when the virtuous hour chases the clouds from our spirits in a soothing ALMOND embrace… Thyme and sweet marjoram, hyssop and rue. INGREDIENTS: ALCOHOL, FRAGRANCE, AQUA WATER, LINALOOL, LIMONENE, BUTYL METHOXYDIBENZOYLMETHANE, ETHYLHEXYL METHOXYCINNAMATE, ETHYLHEXYL SALICYLATE, BENZYL BENZOATE, GERANIOL, CITRAL, BHT, CITRONELLOL.",,,,FC075009,,Heure Vertueuse Les Heures de Parfum Eau de Toilette 75 ml,,,,https://www.cartier.com/en-bg/heure-vertueuse-les-heures-de-parfum-eau-de-toilette-75-ml_cod25372685655520671.html,,
