Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
OutOfStock,,,Home/Jewellery/Necklaces/Diamond Collection,"Cartier Destinée necklace, 18K white gold (750/1000), set with an oval-cut sapphire available from 1.00 carat, and paved with brilliant-cut diamonds.",,aeid5482,,CRN7424378,,Cartier Destinée necklace with colored stone,aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/jewellery/necklaces/diamond-collection/cartier-destinee-necklace-with-colored-stone-CRN7424378.html,SaudiArabia,Necklaces
OutOfStock,,,Home/Art of Living/Bags/Bags for Him,"Must de Cartier Tote in black calfskin. Palladium-finish metal parts. Exterior: embossed double C logo. Interior: black fabric lining, two flat pockets, one zipped pocket. Embossed silver-colored ""Cartier"" signature. Dimensions: 340 mm high x 380 mm wide x 115 mm deep. Hand and shoulder carry",,aeid5482,,CRL1002313,,"Must de Cartier Tote, small model",aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/bags/bags-for-him/must-de-cartier-tote-small-model-CRL1002313.html,SaudiArabia,Bags
OutOfStock,,,Home/Art of Living/Home/Decorative Objects,"Panthère de Cartier trinket tray in Limoges porcelain, with goatskin suede-lined base, exclusive to the 13 rue de la Paix boutique. Size: L 17 x W 17 x H 2.8 cm",,aeid5482,,CROG000722,,"Panthère de Cartier trinket tray, exclusive to 13 rue de la Paix boutique",aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/home/decorative-objects/panthere-de-cartier-trinket-tray-exclusive-to-13-rue-de-la-paix-boutique-CROG000722.html,SaudiArabia,Home
OutOfStock,,,Home/Watches/Collections,"Vintage Santos de Cartier Galbée watch, extra-large model, mechanical movement with automatic winding. Steel case, yellow gold 750/1000 bezel, 7-sided steel crown set with a faceted synthetic spinel, silvered opaline dial, Roman numerals, blued-steel sword-shaped hands, sapphire crystal, steel bracelet with yellow gold 750/1000 screws. Case dimensions: 45.54 x 34.87 mm, 8.67 mm thick. Water-resistant up to 3 bar (approx. 30 meters/100 feet).",,aeid5482,,CRWVVI0022,,Cartier Vintage Collection watch,aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/cartier-vintage-collection-watch-CRWVVI0022.html,SaudiArabia,Collections
OutOfStock,,,Home/Watches/Collections,"Vintage Santos de Cartier Galbée watch, extra-large model, mechanical movement with automatic winding. Steel case, yellow gold 750/1000 bezel, 7-sided steel crown set with a faceted synthetic spinel, silvered opaline dial, Roman numerals, blued-steel sword-shaped hands, sapphire crystal, steel bracelet with yellow gold 750/1000 screws. Case dimensions: 45.54 x 34.87 mm, 8.67 mm thick. Water-resistant up to 3 bar (approx. 30 meters/100 feet).",,aeid5482,,CRWVVI0023,,Cartier Vintage Collection watch,aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/cartier-vintage-collection-watch-CRWVVI0023.html,SaudiArabia,Collections
OutOfStock,,,Home/Jewellery/Earrings,"Boucles d'oreilles 1895, platine (950/1000), serties chacune d'un diamant taille brillant disponible de 2.00 à 4.99 carats.",,aeid5482,,CRN8515231,,1895 Earrings,aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/1895-earrings-CRN8515231.html,SaudiArabia,Earrings
OutOfStock,,,Home/Jewellery/Engagement rings/Solitaire 1895,"Solitaire 1895, platinum 950/1000, set with an emerald-cut emerald available from 1.00 to 1.99 carats, and set with brilliant-cut pavé diamonds.",,aeid5482,,CRN4762800,,Solitaire 1895,aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/jewellery/engagement-rings/solitaire-1895/solitaire-1895-CRN4762800.html,SaudiArabia,Engagement rings
OutOfStock,,,Home/Jewellery/Rings/Cactus de Cartier,"Cactus de Cartier ring, 18K yellow gold (750/1000), set with 86 brilliant-cut diamonds totaling 2.03 carats (for size 52).",,aeid5482,,CRN4753500,,Cactus de Cartier ring,aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/jewellery/rings/cactus-de-cartier/cactus-de-cartier-ring-CRN4753500.html,SaudiArabia,Rings
OutOfStock,,,Home/Jewellery/Bracelets,"Bracelet - platinum 950/1000, six cabochon-cut emeralds from Zambia totaling 7.20 carats, thirteen D/E/F IF/VVS1/VVS2/VS1/VS2 cushion-shaped diamonds totaling 6.67 carats, rock crystal, onyx, brilliant-cut diamonds.",,aeid5482,,CRH6038016,,High Jewelry bracelet,aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/jewellery/bracelets/high-jewelry-bracelet-CRH6038016.html,SaudiArabia,Bracelets
InStock,,,Home/Jewellery/Necklaces,"necklace, 18K yellow gold (750/1000), set with 18 brilliant-cut diamonds totaling 0.22 carats. Width: 2.65 mm. Inner diameter: 7.6 mm. Chain length: 420 mm.",,aeid5482,SAR,CRB7013800,19700.00,"#LOVE# necklace, diamonds",aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/jewellery/necklaces/love-necklace-diamonds-CRB7013800.html,SaudiArabia,Necklaces
