Availability,Colors,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
InStock,Burgundy,Home/Bags for her,"Must de Cartier hobo bag, small model, in black calfskin, signature Cartier medallion. Interior: One zipped pocket, one signature pocket with removable mirror. Fastening system with push buttons. Lining: burgundy lambskin. Dimensions: 225 mm high x 220 mm long x 55 mm deep. Adjustable shoulder strap with gold-finish details for shoulder or crossbody carry.",,aeid5482,zl,L1002251,7.700,"Hobo bag small model, Must de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/hobo-bag-small-model-must-de-cartier_cod343549805672107.html,Poland,bags
InStock,Black,Home/Bags for her,"Must de Cartier hobo bag, small model, in burgundy calfskin, signature Cartier medallion. Interior: One zipped pocket, one signature pocket with removable mirror. Fastening system with push buttons. Lining: burgundy lambskin. Dimensions: 225 mm high x 220 mm long x 55 mm deep. Adjustable shoulder strap with gold-finish details for shoulder or crossbody carry.",,aeid5482,zl,L1002250,7.700,"Hobo bag small model, Must de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/hobo-bag-small-model-must-de-cartier_cod343549805672106.html,Poland,bags
InStock,Black,Home/Bags for her,"Must de Cartier hobo bag, mini model, in burgundy calfskin, signature Cartier medallion. Interior: One signature pocket with removable mirror. Fastening system with push buttons. Lining: burgundy lambskin. Dimensions: 180 mm high x 175 mm long x 50 mm deep. Adjustable shoulder strap with gold-finish details for shoulder or crossbody carry.",,aeid5482,zl,L1002256,6.250,"Hobo bag mini model, Must de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/hobo-bag-mini-model-must-de-cartier_cod343549805672109.html,Poland,bags
InStock,,Home/Bags for her,"Must de Cartier hobo bag, medium model, in supple burgundy calfskin, signature Cartier medallion. Interior: One zipped pocket, one signature pocket with removable mirror. Fastening system with push buttons. Lining: burgundy lambskin. Dimensions: 300 mm high x 292 mm long x 80 mm deep. Adjustable shoulder strap with gold-finish details for shoulder or crossbody carry.",,aeid5482,zl,L1002248,10.400,"Hobo bag medium model, Must de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/hobo-bag-medium-model-must-de-cartier_cod343549805672105.html,Poland,bags
InStock,Burgundy,Home/Bags for her,"Must de Cartier carnassière bag, nano model, in black calfskin, signature Cartier medallion. Interior: One signature pocket with removable mirror, one flat pocket with flap. Lining in burgundy lambskin. Dimensions: 150 mm high x 190 mm long x 52 mm deep. Adjustable shoulder strap with gold-finish details for shoulder or crossbody carry.",,aeid5482,zl,L1002242,5.750,"Carnassière nano model, Must de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/carnassiere-nano-model-must-de-cartier_cod343549805672084.html,Poland,bags
InStock,Burgundy,Home/Bags for her,"Must de Cartier carnassiere bag, small model, in black calfskin, signature Cartier medallion. Interior: One zipped pocket, one signature pocket with removable mirror, one flat pocket with flap. Lining in burgundy lambskin. Dimensions: 250 mm high x 210 mm long x 80 mm deep. Adjustable shoulder strap with gold-finish details for shoulder or crossbody carry.",,aeid5482,zl,L1002240,10.400,"Carnassiere bag, small model, Must de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/carnassiere-bag-small-model-must-de-cartier_cod343549805672082.html,Poland,bags
InStock,Black,Home/Bags for her,"Must de Cartier carnassiere bag, nano model, in burgundy calfskin, signature Cartier medallion. Interior: One signature pocket with removable mirror, one flat pocket with flap. Lining in burgundy lambskin. Dimensions: 190 mm high x 150 mm long x 52 mm deep. Adjustable shoulder strap with gold-finish details for shoulder or crossbody carry.",,aeid5482,zl,L1002241,5.750,"Carnassière nano model, Must de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/carnassiere-nano-model-must-de-cartier_cod343549805672083.html,Poland,bags
OutofStock,,Home/Bags for her,"Medium handle bag in dark green niloticus crocodile skin, black enamel- and gold-finish clasp, gold hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 90 mm deep. Hand and cross-body carry.",,aeid5482,zl,L1002337,111.000,"Small model handle bag, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/small-model-handle-bag-panthere-de-cartier_cod42247633209194359.html,Poland,bags
OutofStock,,Home/Bags for her,"Black sequined mini chain bag on a recycled ECONYL® nylon base, palladium and black enamel-finish clasp, silver Cartier signature hot stamped on the inside. One interior compartment, one flat pocket and one signature pocket. One external flat pocket on the back of the bag. Lining: recycled ECONYL® nylon. Removable chain. Dimensions: height 100 mm x width 200 mm x depth 45 mm. Hand and cross-body carry.",,aeid5482,zl,L1002383,15.500,"Mini chain bag, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/mini-chain-bag-panthere-de-cartier_cod1647597301962978.html,Poland,bags
OutofStock,,Home/Bags for her,"Small handle bag in beige calfskin, black enamel and palladium-finish clasp, silver hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 90 mm deep. Hand and cross-body carry.",,aeid5482,zl,L1002391,14.500,"Small model handle bag, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/small-model-handle-bag-panthere-de-cartier_cod1647597286075088.html,Poland,bags
