Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Price_Currency,Product_Price,Product_Title,Source,execution_id,feed_code,record_create_by,record_create_date,site,sku,source_country,type,urls
InStock,,Not_Available,Home/Art of Living/Writing & Stationery/Desk Accessories,"
Must de Cartier pen case in black calfskin, Double C embossed logo.
Dimensions: 6.3” high x 1.2” wide x 0.8” long.
",USD,195.00,Must de Cartier pen case,https://www.cartier.com/en-us/art-of-living/writing-%26-stationery/desk-accessories/must-de-cartier-pen-case-CROG000514.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CROG000514,USA,Writing & Stationery,
InStock,,Not_Available,Home/Art of Living/Personal accessories/Wallets,"Diabolo de Cartier phone pouch in red calfskin, hot-stamped motifs and golden hot-stamped “Cartier” signature on the inside of the case, golden finish.
Dimensions: 6.7” high x 3.9” wide x 0.8” long.",USD,930.00,"Phone pouch, Diabolo de Cartier",https://www.cartier.com/en-us/art-of-living/personal-accessories/wallets/phone-pouch-diabolo-de-cartier-CRL3002007.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRL3002007,USA,Personal accessories,
InStock,"Black,White,Red,Blue,Yellow,Gray",Not_Available,Home/Art of Living/Bags/Bags for Her,"Mini chain bag in navy blue calfskin, palladium-finish clasp, silver hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 5.5” high x 7.9” wide x 3.3” deep. Shoulder and cross-body carry.",USD,2950.00,"Chain bag mini, Panthère de Cartier",https://www.cartier.com/en-us/art-of-living/bags/bags-for-her/chain-bag-mini-panthere-de-cartier-CRL1002355.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRL1002355,USA,Bags,
OutOfStock,,Not_Available,Home/Watches/Collections/Ronde de Cartier,"Ronde Louis Cartier watch, 36 mm, quartz movement. Case and beaded crown in rose gold (750/1000) set with a blue sapphire. Sandblasted beige dial. Blued-steel sword-shaped hands. Sapphire crystal. Strap in semi-matte purple alligator skin, rose gold (750/1000) ardillon buckle. Thickness: 7.18 mm. Water-resistant up to 3 bar (approx. 30 meters/100 feet).",USD,9650.00,Ronde Louis Cartier watch,https://www.cartier.com/en-us/watches/collections/ronde-de-cartier/ronde-louis-cartier-watch-CRWGRN0012.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRWGRN0012,USA,Collections,
InStock,"White Gold,Pink Gold,Platinum,Yellow gold, diamonds,Yellow gold, diamond,Yellow gold, diamonds,Yellow gold","44 mm (US 3),45 mm (US 3¼),46 mm (US 3¾),47 mm (US 4),48 mm (US 4½),49 mm (US 4¾),50 mm (US 5¼),51 mm (US 5¾),52 mm (US 6),53 mm (US 6¼) ,54 mm (US 6¾),55 mm (US 7¼),56 mm (US 7½),57 mm (US 8),58 mm (US 8¼),59 mm (US 8¾),60 mm (US 9),61 mm (US 9½),62 mm (US 10),63 mm (US 10¼),64 mm (US 10¾),65 mm (US 11),66 mm (US 11½),67 mm (US 11¾),68 mm (US 12¼),69 mm (US 12½),70 mm (US 13) - NOTIFY ME WHEN AVAILABLE,71 mm (US 13¼),72 mm (US 13¾)",Home/Jewelry/Wedding bands/Love,"wedding band, 18K yellow gold (750/1000). Width: 3.6 mm (for size 52).",USD,1170.00,#LOVE# wedding band,https://www.cartier.com/en-us/jewelry/wedding-bands/love/love-wedding-band-CRB4085000.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRB4085000,USA,Wedding bands,
InStock,,Not_Available,Home/Jewelry/Earrings,"Art Déco-inspired earrings, 18K white gold (750/1000), rock crystal, onyx, each set with one trapezoid-shaped diamond totaling 0.1 carat and 31 brilliant-cut diamonds totaling 2.66 carats.",USD,45000.00,Geometry & Contrast Earrings,https://www.cartier.com/en-us/jewelry/earrings/geometry-%26-contrast-earrings-CRH8000648.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRH8000648,USA,Earrings,
InStock,"White Gold,Pink Gold",Not_Available,Home/Jewelry/Necklaces,"necklace, 18K yellow gold (750/1000). Inner diameter 8mm. Chain length: 440mm.",USD,2380.00,#LOVE# necklace,https://www.cartier.com/en-us/jewelry/necklaces/love-necklace-CRB7212400.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRB7212400,USA,Necklaces,
OutOfStock,,Not_Available,Home/Jewelry/Rings,"[SUR]NATUREL ring, 18K white gold (750/1000), emeralds, onyx, and 126 diamonds totaling 0.99 carat (for size 52).",USD,72500.00,[Sur]naturel ring,https://www.cartier.com/en-us/jewelry/rings/%5Bsur%5Dnaturel-ring-CRH4371400.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRH4371400,USA,Rings,
OutOfStock,,Not_Available,Home/Jewelry/Necklaces/Clash de Cartier,,USD,24600.00,,https://www.cartier.com/en-us/jewelry/necklaces/clash-de-cartier/noname-CRN7424461.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRN7424461,USA,Necklaces,
OutOfStock,,Not_Available,Home/Jewelry/Necklaces/Clash de Cartier,,USD,24600.00,,https://www.cartier.com/en-us/jewelry/necklaces/clash-de-cartier/noname-CRN7424463.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRN7424463,USA,Necklaces,
InStock,,Not_Available,Home/Jewelry/Earrings,"Art Déco-inspired earrings, 18K white gold (750/1000), rock crystal, onyx, each set with one trapezoid-shaped diamond totaling 0.1 carat and 31 brilliant-cut diamonds totaling 2.66 carats.",USD,45000.00,Geometry & Contrast Earrings,https://www.cartier.com/en-us/jewelry/earrings/geometry-%26-contrast-earrings-CRH8000648.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRH8000648,USA,Earrings,
OutOfStock,,Not_Available,Home/High Jewelry/DISCOVER IN BOUTIQUES,"Brooch - 18K white gold (750/1000), onyx, 280 brilliant-cut diamonds totaling 3.52 carats",USD,91500.00,Cartier Geometry & Contrast brooch,https://www.cartier.com/en-us/high-jewelry/discover-in-boutiques/cartier-geometry-%26-contrast-brooch-CRH5000047.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRH5000047,USA,DISCOVER IN BOUTIQUES,
OutOfStock,,Not_Available,Home/Jewelry/Earrings/Diamond collection,"Cartier Destinée earrings, 18K white gold (750/1000), each set with a cushion-cut diamond available in 1.00 to 1.15 carats and paved with brilliant-cut diamonds.",USD,36800.00,Cartier Destinée earrings,https://www.cartier.com/en-us/jewelry/earrings/diamond-collection/cartier-destinee-earrings-CRN8515105.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRN8515105,USA,Earrings,
InStock,,Not_Available,Home/Jewelry/Earrings/Clash de Cartier,,USD,19900.00,,https://www.cartier.com/en-us/jewelry/earrings/clash-de-cartier/noname-CRN8515236.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRN8515236,USA,Earrings,
