Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
Add to bag,,,,"Trinity earrings, white gold 750/1000, rose gold 750/1000, yellow gold 750/1000. Inner diameter: 10mm.",,,€,B8017100,1.490,Trinity earrings,,,,https://www.cartier.com/en-be/trinity-earrings_cod25372685655706694.html,,
Add to bag,,,,"Trinity earrings, white gold 750/1000, rose gold 750/1000, yellow gold 750/1000, set with 1 brilliant-cut diamonds totalling 0.36 carats. Inner diameter: 5.3mm.",,,€,B8045300,6.700,Trinity earrings,,,,https://www.cartier.com/en-be/trinity-earrings_cod25372685655705109.html,,
Add to bag,,,,"Etincelle de Cartier hoop earrings, small model, white gold 750/1000, each set with 19 brilliant-cut diamonds totalling 0.27 carats.",,,€,B8301226,4.150,"Etincelle de Cartier earrings, small model",,,,https://www.cartier.com/en-be/etincelle-de-cartier-earrings-small-model_cod25458910981581997.html,,
,,,,"Bracelet - white gold 750/1000, 1,752 brilliant-cut diamonds totalling 27.60 carats (for size 17).",,,,HP601192,,"Juste un Clou Bracelet, Large Model",,,,https://www.cartier.com/en-be/juste-un-clou-bracelet-large-model_cod25372685655532195.html,,
Add to bag,,,,"Santos de Cartier sunglasses in smooth and brushed platinum-finish metal, pilot shape and grey lenses. Dimensions: lenses 60 mm, bridge 17 mm, temples 140 mm.",,,€,ESW00431,928,Santos de Cartier sunglasses,,,,https://www.cartier.com/en-be/santos-de-cartier-sunglasses_cod25458910981616528.html,,
Add to bag,,,,"Santos de Cartier sunglasses in smooth and brushed golden-finish metal, pilot shape and blue lenses. Dimensions: lenses 60 mm, bridge 17 mm, temples 140 mm.",,,€,ESW00432,928,Santos de Cartier sunglasses,,,,https://www.cartier.com/en-be/santos-de-cartier-sunglasses_cod25458910981613301.html,,
Add to bag,,,,"Santos de Cartier sunglasses in smooth and brushed platinum-finish metal, rectangular shape and grey lenses. Dimensions: lenses 58 mm, bridge 17 mm, temples 140 mm.",,,€,ESW00435,928,Santos de Cartier sunglasses,,,,https://www.cartier.com/en-be/santos-de-cartier-sunglasses_cod25458910981613307.html,,
Add to bag,,,,"Santos de Cartier sunglasses in smooth and brushed golden-finish metal, rectangular shape and grey lenses. Dimensions: lenses 58 mm, bridge 17 mm, temples 140 mm.",,,€,ESW00436,928,Santos de Cartier sunglasses,,,,https://www.cartier.com/en-be/santos-de-cartier-sunglasses_cod25458910981616530.html,,
Add to bag,,,,"Panthère de Cartier sunglasses in smooth golden-finish metal, golden-finish panther heads with black lacquer spots and green lacquer eyes, pilot shape and graduated brown lenses with golden flash. Dimensions: lenses 61 mm, bridge 15 mm, temples 140 mm.",,,€,ESW00480,958,Panthère de Cartier sunglasses,,,,https://www.cartier.com/en-be/panthere-de-cartier-sunglasses_cod25458910981616554.html,,
Add to bag,,,,"Metal Santos de Cartier sunglasses with a brushed ruthenium finish and smooth ruthenium-finish screws, aviator shape, black leather bridge, grey polarised lenses, black composite temple tips, temples with Cartier signature.Dimensions: lenses 61 mm, bridge 17 mm, temples 135 mm.",,,€,ESW00279,928,Santos de Cartier sunglasses,,,,https://www.cartier.com/en-be/santos-de-cartier-sunglasses_cod25458910981612801.html,,
