Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
,,,,"Les Oiseaux Libérés necklace, white gold 750/1000, grey mother-of pearl, emeralds, tanzanite beads, set with 476 brilliant-cut diamonds totalling 4.59 carats.",,,,H7000092,,Les Oiseaux Libérés necklace,,,,https://www.cartier.com/en-hr/les-oiseaux-liberes-necklace_cod1647597283726231.html,,
,,,,"Les Oiseaux Libérés earrings, white gold 750/1000, grey mother-of pearl, emeralds, sapphire beads, each set with 202 brilliant-cut diamonds totalling 1.19 carats.",,,,H8000128,,Les Oiseaux Libérés earrings,,,,https://www.cartier.com/en-hr/les-oiseaux-liberes-earrings_cod25458910981301726.html,,
Add to bag,,,,"The Maison Cartier is delighted to present its collection Rivières de Cartier, with an elegant set composed of three 10 ml sprays: Rivières de Cartier Allégresse, Rivières de Cartier Luxuriance and Rivières de Cartier Insouciance.   RIVIERES DE CARTIER ALLEGRESSE EAU DE TOILETTE  INGREDIENTS*: ALCOHOL, AQUA (WATER), PARFUM (FRAGRANCE), LINALOOL, LIMONENE, ETHYLHEXYL METHOXYCINNAMATE, CITRAL, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, HYDROXYCITRONELLAL, BHT, BENZYL BENZOATE, CINNAMYL ALCOHOL, GERANIOL, FARNESOL, BENZYL ALCOHOL, ISOEUGENOL, BENZYL SALICYLATE, CITRONELLOL.  RIVIERES DE CARTIER LUXURIANCE EAU DE TOILETTE  INGREDIENTS*: ALCOHOL, AQUA (WATER), PARFUM (FRAGRANCE), LIMONENE, ETHYLHEXYL METHOXYCINNAMATE, BENZYL BENZOATE, LINALOOL, ETHYLHEXYL SALICYLATE, CITRAL, BHT, BUTYL METHOXYDIBENZOYLMETHANE, CITRONELLOL, GERANIOL, HYDROXYCITRONELLAL.  RIVIERES DE CARTIER INSOUCIANCE EAU DE TOILETTE  INGREDIENTS*: ALCOHOL, AQUA (WATER), PARFUM (FRAGRANCE), LINALOOL, LIMONENE, ETHYLHEXYL METHOXYCINNAMATE, HYDROXYCITRONELLAL, ALPHA-ISOMETHYL IONONE, CITRAL, ETHYLHEXYL SALICYLATE, BHT, BUTYL METHOXYDIBENZOYLMETHANE, GERANIOL.  *Non-contractual information",,,kn,FI010002,520,Rivières de Cartier Discovery Set 3x10 ml,,,,https://www.cartier.com/en-hr/rivieres-de-cartier-discovery-set-3x10-ml_cod25185454456676096.html,,
,,,,"Panthère de Cartier watch, medium model, quartz movement. Case in rhodium-finish white gold 750/1000 set with brilliant-cut diamonds, dimensions: 27 mm x 36 mm, thickness: 6 mm, crown set with a diamond, silvered dial, blued-steel sword-shaped hands, rhodium-finish white gold 750/1000 bracelet, water-resistant to 3 bar (around 30 metres).",,,kn,WJPN0007,259.000,Panthère de Cartier watch,,,,https://www.cartier.com/en-hr/panthere-de-cartier-watch_cod44733502651442639.html,,
,,,,"Pasha de Cartier watch, 41 mm, tourbillon, skeleton, mechanical movement with manual winding, calibre 9466 MC. Rhodium-finish white gold 750/1000 case; bezel, fluted crown, movement and buckle set with 180 brilliant-cut diamonds totalling 2.95 carats, blued-steel diamond-shaped hands, 2 alligator-skin straps, 1 dark grey and 1 black with the QuickSwitch interchangeability system, interchangeable rhodium-finish white gold 750/1000 folding buckle. Hours and minutes with skeletonised bridges forming Arabic numerals. Movement consisting of 278 parts including 19 jewels. Movement diameter: 31.63 mm, movement thickness: 5.76 mm, balance: 21,600 vibrations/hour, power reserve approx. 50 hours. Case diameter: 41 mm, thickness: 10.45 mm. Water-resistant to 3 bar (approx. 30 metres).",,,kn,HPI01435,1.130.000,Pasha de Cartier watch,,,,https://www.cartier.com/en-hr/pasha-de-cartier-watch_cod25372685655516924.html,,
Add to bag,,,,"Santos watch, large model, mechanical movement with automatic winding, calibre 1847 MC. Rose gold 750/1000 case, 7-sided rose gold 750/1000 crown set with a faceted sapphire. Silvered opaline dial, blued-steel sword-shaped hands, sapphire crystal. One alligator-skin and one calfskin strap with the “QuickSwitch” interchangeability system, interchangeable folding buckle in rose gold 750/1000. Case width: 39.8 mm, thickness: 9.38 mm. Water-resistant to 10 bar (approx. 100 metres).",,,kn,WGSA0019,153.000,Santos de Cartier watch,,,,https://www.cartier.com/en-hr/santos-de-cartier-watch_cod44733502651447094.html,,
,,,,"Pasha de Cartier watch, 41 mm, tourbillon, skeleton, mechanical movement with manual winding, calibre 9466 MC. Rose gold 750/1000 case, fluted crown set with a sapphire, blued-steel diamond-shaped hands, 2 alligator-skin straps, 1 black and 1 dark grey with QuickSwitch interchangeability system, interchangeable rose gold 750/1000 folding buckle. Hours and minutes with skeletonised bridges forming Arabic numerals. Movement consisting of 180 parts including 19 jewels. Movement diameter: 31.63 mm, movement thickness: 5.76 mm, balance: 21,600 vibrations/hour, power reserve approx. 50 hours. Case diameter: 41 mm, thickness: 10.45 mm. Water-resistant to 3 bar (approx. 30 metres).",,,kn,WHPA0006,800.000,Pasha de Cartier watch,,,,https://www.cartier.com/en-hr/pasha-de-cartier-watch_cod25372685655505433.html,,
,,,,"Santos watch, medium model, mechanical movement with automatic winding, calibre 1847 MC. Yellow gold 750/1000 case, bezel set with brilliant-cut diamonds. Yellow gold 750/1000 7-sided crown set with a faceted sapphire, sunray-effect dial, blued-steel sword-shaped hands, sapphire crystal. Yellow gold 750/1000 bracelet with “SmartLink” adjustment system. Second bracelet in alligator skin, with yellow gold 750/1000 double adjustable folding buckle. Both bracelets are fitted with the “QuickSwitch” interchangeability system. Case width: 35.1 mm, case thickness: 8.83 mm. Water-resistant to 10 bar (approx. 100 metres).",,,kn,WJSA0010,365.000,Santos de Cartier watch,,,,https://www.cartier.com/en-hr/santos-de-cartier-watch_cod44733502651439542.html,,
Add to bag,,,,Juste un Clou tie pin in white gold 750/1000. Dimensions: 58.3 x 8.3 mm,,,kn,OG000240,14.200,Juste un Clou tie pin,,,,https://www.cartier.com/en-hr/juste-un-clou-tie-pin_cod25372685655509510.html,,
Add to bag,,,,"Card holder in black calfskin, golden garland motif, golden hot stamped “Cartier” signature on the central pocket, two flat pockets on the surfaces. Dimensions: 75 mm high x 100 mm wide.",,,kn,L3001718,1.690,"Simple Card Holder, Guirlande de Cartier",,,,https://www.cartier.com/en-hr/simple-card-holder-guirlande-de-cartier_cod25372685655513936.html,,
